,,02/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
TheStation,null,1025705,1045256,1060228,1074243,1080788,1090324,1095032,1099315,1101230,1097426,1092471,1053143,1049884,1041304,1036318,949906,947584,944550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHATTHEBUCKSHOW,null,1019364,1051138,1066661,1083927,1092244,1110741,1126346,1138110,1146341,1154167,1157130,1122561,1124474,1103922,1095659,998038,998642,1001036,997844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VenetianPrincess,null,979377,998172,1007071,1017205,1022948,1032662,1034979,1036595,1039957,1042178,1043853,1016783,1014419,992318,987539,893654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freddiew,null,964266,1304225,1464387,1663178,1800512,1969779,2123996,2349281,2500652,2602746,2763731,2882549,2966339,3098278,3157541,3327667,3377087,3447636,3578514,3657611,3894104,4052799,4134650,4597332,4846041,5171839,5171839,5702291,5835341,6149461,6507746,6574473,,,6826762,6852304,6888548,6925153,6940098,6958647,6933753,6961781,6983725,7008162,7282705,7362293,7416812,7466275,7508065,7529514,7550245,7574481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makemebad35,null,935984,980289,1006319,1036529,1047800,1065371,1093666,1111582,1127071,1136702,1144655,1123797,1128518,1122796,1121958,1043878,1050467,1058458,1070636,1078607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HouseholdHacker,null,905875,962135,1003550,1049834,1079440,1122406,1156593,1198324,1229570,1253895,1267269,1240781,1248888,1259560,1261021,1208764,1210885,1244969,1280643,1292868,1367692,1381302,1389977,1444769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communitychannel,null,896509,950275,966843,983284,990424,1019009,1037216,1054417,1070375,1087372,1103204,1094218,1100013,1124330,1123648,1078746,1082757,1087775,1124176,1144176,1170813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaycarl,null,879217,911523,926414,957597,982354,1013446,1026215,1041884,1050176,1057247,1056066,1017665,1016030,1014552,1013161,945484,945922,946960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SelGomez,null,878667,941577,973414,1007118,1050903,1099917,1156500,1198498,1234871,1267941,1294104,1285769,1305872,1323752,1330885,1246955,1256645,1271181,1298022,1311379,1349659,1377277,1388105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machinimarespawn,null,879960,1059459,1151822,1216672,1273800,1373170,1454750,1536802,1607338,1665850,1727861,1730337,1768929,1834731,1862413,1874535,1892884,1918759,1964154,2003264,2096358,2128362,2147455,2223632,2272166,2336162,2336162,,,2543781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expertvillage,null,856141,901228,927834,954239,968001,989162,1004319,1021165,1020433,1027123,1060105,1103960,1132854,1159641,1171214,1181424,1184872,1191726,1206952,1226924,1268122,1304403,1331086,1461499,1545421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thelonelyisland,null,845949,952491,1080155,1199026,1259507,1371869,1478188,1618812,1730696,1826468,1958750,2068685,2137586,2232638,2265172,2348472,2368730,2389861,2433618,2473850,2564609,2589471,2604308,3176848,3497325,3957474,3957474,4694841,4913796,5205197,5391347,5441001,5528066,5541342,5605719,5637746,5674015,5704174,5725603,5801865,5803448,5835256,5874766,5903387,5935094,5952961,5973462,5997357,6030275,6054155,6081579,6101825,6132871,6136140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlieissocoollike,null,816418,900587,964234,1040340,1069048,1123977,1180920,1234112,1281823,1316796,1375027,1399530,1421818,1460817,1497784,1496965,1516659,1541749,1596661,1623848,1755211,1782336,1800345,1864612,1908905,1962141,1962141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schmoyoho,null,796363,922909,955993,983768,1015372,1053788,1082412,1119240,1165272,1205131,1228028,1229729,1246425,1261708,1267369,1268202,1275471,1280299,1312859,1332831,1379902,1387143,1391259,1486235,1542021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAYTARDS,null,776956,825755,849375,882438,902674,931911,949221,960802,975411,994219,1003223,973434,978865,989961,991380,940427,946010,952926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimothyDeLaGhetto2,null,765226,842201,882938,926304,949628,990295,1023870,1060332,1096869,1118605,1151602,1172013,1194925,1226081,1237604,1288468,1332302,1368838,1424971,1464148,1565128,1589448,1607373,1666334,1697248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobuscus,null,760453,893033,969302,1052376,1093736,1155933,1226468,1290579,1398542,1484534,1553890,1579023,1622928,1714200,1755937,1887210,1952404,2058627,2258753,2376873,2659394,2786059,2831878,3027851,3178210,3399614,3399614,4005938,4171697,4571672,4843085,4946860,5174016,5211020,5446109,5567144,5639565,5710924,5751980,5803300,5889185,5964223,6024536,6052769,6091276,6115758,6138339,6164409,6191618,6215447,6248945,6264027,6312710,6321602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daneboe,null,755006,812712,844747,879234,901736,928709,950730,977629,998088,1008976,1017898,992433,1007607,1027433,1032193,991318,993447,994851,1005128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JonasBrothersMusic,null,747538,759362,762127,765282,767147,769634,771532,773679,775535,775791,776686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shane,null,747448,820068,854333,887297,911395,954591,993032,1028178,1052342,1072703,1109852,1127984,1152624,1191656,1205138,1192752,1203102,1219161,1249908,1272277,1340087,1391628,1405236,1453911,,,,,,,2693472,2779628,3009862,3073434,3313559,3452340,3555532,3641165,3699167,3789280,3880850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16524062,17793931,18333043,19002889,19109568,19313054,19420736,19754078,20366593,21168242,21386321,21651207,21697660,21825576,22182725,22305698,228000000,231000000,231000000
KurtHugoSchneider,null,743977,907219,969559,1023919,1056508,1109449,1156831,1203226,1246679,1288622,1314237,1320130,1338906,1366442,1376349,1385625,1402866,1435224,1513733,1553163,1643498,1669218,1683398,1898683,2007173,2208339,2208339,2578901,2709883,2997693,3244857,3341923,,,3727247,3846608,3964124,4069762,4162872,4265275,4326202,4410423,4518980,4602178,4720737,4818835,4923873,5054030,5192721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoosterTeeth,null,730090,858033,949527,1026619,1082607,1190616,1262030,1336842,1448762,1555125,1605882,1613350,1650258,1717256,1750831,1817222,1856571,1933161,2096652,2216050,2483552,2588465,2669656,3043268,3432827,4125130,4125130,5097604,5332348,5796319,6213106,6355536,,,6877742,7018853,7222663,7364662,7455327,7537753,7562253,7681981,7803403,7876218,7938040,7964451,7997953,8058033,8122401,8164174,8206324,8231223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGNentertainment,null,730493,905749,1024305,1127056,1193079,1289831,1368772,1469875,1565186,1653241,1704826,1695248,1717753,1750606,1767695,1799751,1820376,1853756,1914038,1970224,2126511,2172572,2200593,2325475,2446367,2651416,2651416,2975368,3115795,3299164,3500004,3585829,,,4073127,4182426,4313488,4417193,4491393,4609685,4736315,4831021,4983603,5090591,5232758,5332021,5437724,5560354,5672617,5789495,5964310,6072389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davidchoimusic,null,725174,777333,804661,842218,861884,891170,917270,942618,964326,975679,979748,950713,959681,957447,955503,912063,914394,915170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrittaniLouiseTaylor,null,712042,755432,774563,794885,810293,837632,855973,871877,883266,889965,891462,856445,858701,861608,862191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImprovEverywhere,null,696236,732354,755661,787454,802512,822672,855504,874725,892234,926291,934758,949307,952257,958883,958492,936325,938046,942600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HappySlip,null,694967,714679,726793,741987,749859,763358,774507,784931,793527,797104,797085,774466,774466,774466,774466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kipkay,null,695382,779623,823670,871486,899848,940899,975843,1015675,1051234,1071559,1097844,1096921,1109675,1127184,1130471,1124828,1133699,1140482,1158465,1171100,1199607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RhettandLink,null,688027,726040,741173,753913,760641,771117,781332,793373,817664,827785,841626,832612,854247,872879,877445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeStorm,null,685953,753340,793851,859816,917542,980128,1025012,1082953,1129246,1161158,1204266,1193528,1202211,1212398,1214367,1191518,1196882,1202108,1208675,1212665,1222889,1237229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mileymandy,null,673362,679652,683068,686553,688308,691365,693886,696246,697988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LisaNova,null,671017,680244,685332,696270,702950,708949,712388,717463,720982,720743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meekakitty,null,666438,701545,719789,749991,778774,802172,810445,816647,826980,830829,835600,814120,816433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeldaxlove64,null,626088,796240,868229,946784,987210,1083198,1153365,1230865,1291303,1343297,1416302,1456532,1494050,1548390,1570414,1606100,1625343,1650262,1708581,1750039,1843649,1865059,1878133,1953338,1993182,2083477,2083477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juicystar07,null,623550,680157,708714,739024,758191,788143,811423,833575,855074,876705,906988,922842,943235,976574,991080,982640,997277,1013274,1040731,1070715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlestrippy,null,622914,659914,674467,692431,705337,726111,743784,758458,772406,802904,803542,774934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheFineBros,null,617143,673771,744607,831345,879306,961996,1058782,1132180,1207575,1278625,1322524,1328737,1355229,1403626,1424246,1488929,1573446,1664693,1830599,1959031,2242891,2311905,2383493,2638414,2787326,3366302,3366302,4326374,4640395,5293339,5919017,6073263,6483542,6575524,6912701,7168556,7447349,7838856,8171480,8554044,8957961,9489903,9937872,10296172,10611163,10810003,11092891,11407129,11712619,11932003,12299319,12488352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nqtv,null,618150,687753,723532,771675,789100,816394,840287,883683,930552,962301,1005415,1106114,1152180,1224269,1245081,1365018,1407706,1442235,1512317,1549205,1631975,1705480,1746262,1950352,2053632,2203325,2203325,2775562,2878999,3057240,3184314,3232410,3320527,3350882,3444417,3573337,3724201,3885419,3964483,4049239,4142440,4197602,4256418,4313562,4494198,4598638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonlajoie,null,610385,644429,658961,675783,683925,705799,721086,737077,752327,762611,777046,783748,794928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
