name,value,year,lastValue,rank,image
Hakeem Olajuwon,3830,2016.0,3830,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/olajuha01.jpg
Hakeem Olajuwon,3830,2017.0,3830,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/olajuha01.jpg
Hakeem Olajuwon,3830,2018.0,3830,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/olajuha01.jpg
Hakeem Olajuwon,3830,2019.0,3830,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/olajuha01.jpg
Dikembe Mutombo,0,1974.0,0,884,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1975.0,0,860,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1976.0,0,837,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1977.0,0,792,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1978.0,0,766,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1979.0,0,748,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1980.0,0,721,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1981.0,0,707,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1982.0,0,681,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1983.0,0,662,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1984.0,0,643,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1985.0,0,626,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1986.0,0,611,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1987.0,0,600,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1988.0,0,588,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1989.0,0,573,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1990.0,0,551,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1991.0,0,535,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1992.0,0,523,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,0,1993.0,0,507,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,833,1994.0,0,48,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,1154,1995.0,833,27,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,1486,1996.0,1154,18,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,1750,1997.0,1486,11,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,2027,1998.0,1750,10,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,2174,1999.0,2027,8,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,2443,2000.0,2174,7,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,2646,2001.0,2443,6,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,2836,2002.0,2646,6,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,2873,2003.0,2836,6,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,2996,2004.0,2873,4,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3097,2005.0,2996,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3154,2006.0,3097,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3230,2007.0,3154,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3278,2008.0,3230,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3289,2009.0,3278,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3289,2010.0,3289,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3289,2011.0,3289,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3289,2012.0,3289,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3289,2013.0,3289,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
