,
Mike Tyson,upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Mike_Tyson_2019_by_Glenn_Francis.jpg/220px-Mike_Tyson_2019_by_Glenn_Francis.jpg
Buster Douglas,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg
Sugar Ray Leonard,upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Sugar_Ray_Leonard.jpg/220px-Sugar_Ray_Leonard.jpg
Ayrton Senna,upload.wikimedia.org/wikipedia/commons/thumb/3/38/Ayrton_Senna_8_%28cropped%29.jpg/220px-Ayrton_Senna_8_%28cropped%29.jpg
Alain Prost,upload.wikimedia.org/wikipedia/commons/thumb/9/95/Festival_automobile_international_2012_-_Photocall_-_Alain_Prost_-_013.jpg/220px-Festival_automobile_international_2012_-_Photocall_-_Alain_Prost_-_013.jpg
Jack Nicklaus,upload.wikimedia.org/wikipedia/commons/thumb/7/7f/JackNicklaus.cropped.jpg/230px-JackNicklaus.cropped.jpg
Greg Norman,upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Greg_Norman_2014.jpg/220px-Greg_Norman_2014.jpg
Michael Jordan,upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Michael_Jordan_in_2014.jpg/220px-Michael_Jordan_in_2014.jpg
Arnold Palmer,upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Arnold_Palmer_%28cropped%29.jpg/220px-Arnold_Palmer_%28cropped%29.jpg
Evander Holyfield,upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Evander_Holyfield_LA_2011.jpg/220px-Evander_Holyfield_LA_2011.jpg
George Foreman,upload.wikimedia.org/wikipedia/commons/thumb/5/50/George_Foreman_071516.jpg/220px-George_Foreman_071516.jpg
Donovan Razor Ruddock,boxing247.com/fotos/ruddock46464.jpg
Nigel Mansell,upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Nigel_Mansell_-_Mexican_Grand_Prix_01.JPG/220px-Nigel_Mansell_-_Mexican_Grand_Prix_01.JPG
Andre Agassi,upload.wikimedia.org/wikipedia/commons/thumb/9/93/Andre_Agassi_%282011%29.jpg/220px-Andre_Agassi_%282011%29.jpg
Joe Montana,upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Joe_Montana_ESPN_cropped2.jpg/220px-Joe_Montana_ESPN_cropped2.jpg
Jim Courier,upload.wikimedia.org/wikipedia/commons/thumb/5/55/Jim_Courier.jpg/220px-Jim_Courier.jpg
Monica Seles,upload.wikimedia.org/wikipedia/commons/thumb/0/08/Monica_Seles_1999.jpg/220px-Monica_Seles_1999.jpg
Riddick Bowe,upload.wikimedia.org/wikipedia/commons/thumb/f/fb/RiddickBowe.jpg/220px-RiddickBowe.jpg
Shaquille O'Neal,upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Shaquille_O%27Neal_in_2011_%28cropped%29.jpg/220px-Shaquille_O%27Neal_in_2011_%28cropped%29.jpg
Lennox Lewis,upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Lenox_Lewis_2010.jpg/220px-Lenox_Lewis_2010.jpg
Cecil Fielder,upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Cecil_Fielder_1996.jpg/220px-Cecil_Fielder_1996.jpg
Gerhard Berger,upload.wikimedia.org/wikipedia/commons/thumb/2/21/Gerhard_Berger_1991USA.jpg/220px-Gerhard_Berger_1991USA.jpg
Wayne Gretzky,upload.wikimedia.org/wikipedia/commons/thumb/0/03/Wayne_Gretzky_2006-02-18_Turin_001.jpg/230px-Wayne_Gretzky_2006-02-18_Turin_001.jpg
Michael Moorer,boxrec.com/media/images/thumb/3/3a/Michael_Moorer.jpg/200px-Michael_Moorer.jpg
Deion Sanders,upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Deion_Sanders_2011_CROP.jpg/220px-Deion_Sanders_2011_CROP.jpg
Michael Schumacher,upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Schumacher_china_2012_crop.jpg/220px-Schumacher_china_2012_crop.jpg
Emmit Smith,upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Super_Bowl_44_Emmitt_Smith_%284344089199%29_%28cropped%29.jpg/200px-Super_Bowl_44_Emmitt_Smith_%284344089199%29_%28cropped%29.jpg
Dennis Rodman,upload.wikimedia.org/wikipedia/commons/thumb/8/86/Dennis_Rodman%2C_2001.jpg/220px-Dennis_Rodman%2C_2001.jpg
Patrick Ewing,upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Ewing_on_court.jpg/275px-Ewing_on_court.jpg
Oscar De La Hoya,upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Oscar_De_La_Hoya%2C_Feb_2011.jpg/220px-Oscar_De_La_Hoya%2C_Feb_2011.jpg
Tiger Woods,upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Tiger_Woods_in_May_2019.jpg/220px-Tiger_Woods_in_May_2019.jpg
Dale Earnhardt,upload.wikimedia.org/wikipedia/commons/thumb/b/bc/DaleEarnhardtSunglassesDriversSuit.jpg/220px-DaleEarnhardtSunglassesDriversSuit.jpg
Joe Sakic,upload.wikimedia.org/wikipedia/commons/thumb/5/51/Joe_sakic.jpg/230px-Joe_sakic.jpg
