name,date,index,rank,value,lastValue,age,
Harry Potter and the Goblet of Fire (2005),200706,57,8,131738675.498375,131738675.498375,0.7,
X-Men: The Last Stand (2006),200706,57,9,129404737.405451,129404737.405451,0.8,
Harry Potter and the Sorcerer's Stone (2001),200706,57,10,129358496.831499,129358496.831499,0,
The Matrix Reloaded (2003),200706,57,11,127385491.61728,127385491.61728,0.2,
Harry Potter and the Prisoner of Azkaban (2004),200706,57,12,126047945.729571,126047945.729571,0.4,
Spider-Man 3 (2007),200712,58,1,185326540.569443,185326540.569443,0.9,
Pirates of the Caribbean: Dead Man's Chest (2006),200712,58,2,169725507.77938,169725507.77938,0.8,
Spider-Man (2002),200712,58,3,162513376.353942,162513376.353942,0,
Shrek the Third (2007),200712,58,4,149163919.588291,149163919.588291,0.9,
Shrek 2 (2004),200712,58,5,145355270.608491,145355270.608491,0.3,
Star Wars: Episode III - Revenge of the Sith (2005),200712,58,6,142275436.853216,142275436.853216,0.5,
Pirates of the Caribbean: At World's End (2007),200712,58,7,140706239.021396,140706239.021396,0.9,
Harry Potter and the Goblet of Fire (2005),200712,58,8,131738675.498375,131738675.498375,0.6,
X-Men: The Last Stand (2006),200712,58,9,129404737.405451,129404737.405451,0.7,
Harry Potter and the Sorcerer's Stone (2001),200712,58,10,129358496.831499,129358496.831499,0,
The Matrix Reloaded (2003),200712,58,11,127385491.61728,127385491.61728,0.1,
Harry Potter and the Prisoner of Azkaban (2004),200712,58,12,126047945.729571,126047945.729571,0.3,
Spider-Man 3 (2007),200806,59,1,185326540.569443,185326540.569443,0.8,
Pirates of the Caribbean: Dead Man's Chest (2006),200806,59,2,169725507.77938,169725507.77938,0.7,
Spider-Man (2002),200806,59,3,162513376.353942,162513376.353942,0,
Shrek the Third (2007),200806,59,4,149163919.588291,149163919.588291,0.8,
Shrek 2 (2004),200806,59,5,145355270.608491,145355270.608491,0.2,
Star Wars: Episode III - Revenge of the Sith (2005),200806,59,6,142275436.853216,142275436.853216,0.4,
Pirates of the Caribbean: At World's End (2007),200806,59,7,140706239.021396,140706239.021396,0.8,
Harry Potter and the Goblet of Fire (2005),200806,59,8,131738675.498375,131738675.498375,0.5,
X-Men: The Last Stand (2006),200806,59,9,129404737.405451,129404737.405451,0.6,
Harry Potter and the Sorcerer's Stone (2001),200806,59,10,129358496.831499,129358496.831499,0,
The Matrix Reloaded (2003),200806,59,11,127385491.61728,127385491.61728,0,
Harry Potter and the Prisoner of Azkaban (2004),200806,59,12,126047945.729571,126047945.729571,0.2,
The Dark Knight (2008),200812,60,1,190446274.711606,0,1,
Spider-Man 3 (2007),200812,60,2,185326540.569443,185326540.569443,0.7,
Pirates of the Caribbean: Dead Man's Chest (2006),200812,60,3,169725507.77938,169725507.77938,0.6,
Spider-Man (2002),200812,60,4,162513376.353942,162513376.353942,0,
Shrek the Third (2007),200812,60,5,149163919.588291,149163919.588291,0.7,
Shrek 2 (2004),200812,60,6,145355270.608491,145355270.608491,0.1,
Star Wars: Episode III - Revenge of the Sith (2005),200812,60,7,142275436.853216,142275436.853216,0.3,
Pirates of the Caribbean: At World's End (2007),200812,60,8,140706239.021396,140706239.021396,0.7,
Harry Potter and the Goblet of Fire (2005),200812,60,9,131738675.498375,131738675.498375,0.4,
X-Men: The Last Stand (2006),200812,60,10,129404737.405451,129404737.405451,0.5,
Harry Potter and the Sorcerer's Stone (2001),200812,60,11,129358496.831499,129358496.831499,0,
The Matrix Reloaded (2003),200812,60,12,127385491.61728,127385491.61728,0,
The Dark Knight (2008),200906,61,1,190446274.711606,190446274.711606,0.9,
Spider-Man 3 (2007),200906,61,2,185326540.569443,185326540.569443,0.6,
Pirates of the Caribbean: Dead Man's Chest (2006),200906,61,3,169725507.77938,169725507.77938,0.5,
Spider-Man (2002),200906,61,4,162513376.353942,162513376.353942,0,
Shrek the Third (2007),200906,61,5,149163919.588291,149163919.588291,0.6,
Shrek 2 (2004),200906,61,6,145355270.608491,145355270.608491,0,
Star Wars: Episode III - Revenge of the Sith (2005),200906,61,7,142275436.853216,142275436.853216,0.2,
Pirates of the Caribbean: At World's End (2007),200906,61,8,140706239.021396,140706239.021396,0.6,
Harry Potter and the Goblet of Fire (2005),200906,61,9,131738675.498375,131738675.498375,0.3,
X-Men: The Last Stand (2006),200906,61,10,129404737.405451,129404737.405451,0.4,
Harry Potter and the Sorcerer's Stone (2001),200906,61,11,129358496.831499,129358496.831499,0,
Transformers: Revenge of the Fallen (2009),200906,61,12,128933232.41974,0,1,
The Dark Knight (2008),200912,62,1,190446274.711606,190446274.711606,0.8,
Spider-Man 3 (2007),200912,62,2,185326540.569443,185326540.569443,0.5,
Pirates of the Caribbean: Dead Man's Chest (2006),200912,62,3,169725507.77938,169725507.77938,0.4,
The Twilight Saga: New Moon (2009),200912,62,4,167024532.154923,0,1,
Spider-Man (2002),200912,62,5,162513376.353942,162513376.353942,0,
Shrek the Third (2007),200912,62,6,149163919.588291,149163919.588291,0.5,
Shrek 2 (2004),200912,62,7,145355270.608491,145355270.608491,0,
Star Wars: Episode III - Revenge of the Sith (2005),200912,62,8,142275436.853216,142275436.853216,0.1,
Pirates of the Caribbean: At World's End (2007),200912,62,9,140706239.021396,140706239.021396,0.5,
Harry Potter and the Goblet of Fire (2005),200912,62,10,131738675.498375,131738675.498375,0.2,
X-Men: The Last Stand (2006),200912,62,11,129404737.405451,129404737.405451,0.3,
Harry Potter and the Sorcerer's Stone (2001),200912,62,12,129358496.831499,129358496.831499,0,
The Dark Knight (2008),202006,63,1,190446274.711606,190446274.711606,0.7,
Spider-Man 3 (2007),202006,63,2,185326540.569443,185326540.569443,0.4,
Pirates of the Caribbean: Dead Man's Chest (2006),202006,63,3,169725507.77938,169725507.77938,0.3,
The Twilight Saga: New Moon (2009),202006,63,4,167024532.154923,167024532.154923,0.9,
Spider-Man (2002),202006,63,5,162513376.353942,162513376.353942,0,
Iron Man 2 (2010),202006,63,6,149918149.010999,0,1,
Shrek the Third (2007),202006,63,7,149163919.588291,149163919.588291,0.4,
Shrek 2 (2004),202006,63,8,145355270.608491,145355270.608491,0,
Star Wars: Episode III - Revenge of the Sith (2005),202006,63,9,142275436.853216,142275436.853216,0,
Pirates of the Caribbean: At World's End (2007),202006,63,10,140706239.021396,140706239.021396,0.4,
Alice in Wonderland  (2010),202006,63,11,135851651.220328,0,1,
Harry Potter and the Goblet of Fire (2005),202006,63,12,131738675.498375,131738675.498375,0.1,
The Dark Knight (2008),202012,64,1,190446274.711606,190446274.711606,0.6,
Spider-Man 3 (2007),202012,64,2,185326540.569443,185326540.569443,0.3,
Pirates of the Caribbean: Dead Man's Chest (2006),202012,64,3,169725507.77938,169725507.77938,0.2,
The Twilight Saga: New Moon (2009),202012,64,4,167024532.154923,167024532.154923,0.8,
Spider-Man (2002),202012,64,5,162513376.353942,162513376.353942,0,
Iron Man 2 (2010),202012,64,6,149918149.010999,149918149.010999,0.9,
Shrek the Third (2007),202012,64,7,149163919.588291,149163919.588291,0.3,
Shrek 2 (2004),202012,64,8,145355270.608491,145355270.608491,0,
Harry Potter and the Deathly Hallows Part 1 (2010),202012,64,9,144113152.958453,0,1,
Star Wars: Episode III - Revenge of the Sith (2005),202012,64,10,142275436.853216,142275436.853216,0,
Pirates of the Caribbean: At World's End (2007),202012,64,11,140706239.021396,140706239.021396,0.3,
Alice in Wonderland  (2010),202012,64,12,135851651.220328,135851651.220328,0.9,
The Dark Knight (2008),202106,65,1,190446274.711606,190446274.711606,0.5,
Spider-Man 3 (2007),202106,65,2,185326540.569443,185326540.569443,0.2,
Pirates of the Caribbean: Dead Man's Chest (2006),202106,65,3,169725507.77938,169725507.77938,0.1,
The Twilight Saga: New Moon (2009),202106,65,4,167024532.154923,167024532.154923,0.7,
Spider-Man (2002),202106,65,5,162513376.353942,162513376.353942,0,
Iron Man 2 (2010),202106,65,6,149918149.010999,149918149.010999,0.8,
Shrek the Third (2007),202106,65,7,149163919.588291,149163919.588291,0.2,
Shrek 2 (2004),202106,65,8,145355270.608491,145355270.608491,0,
Harry Potter and the Deathly Hallows Part 1 (2010),202106,65,9,144113152.958453,144113152.958453,0.9,
Star Wars: Episode III - Revenge of the Sith (2005),202106,65,10,142275436.853216,142275436.853216,0,
Pirates of the Caribbean: At World's End (2007),202106,65,11,140706239.021396,140706239.021396,0.2,
Alice in Wonderland  (2010),202106,65,12,135851651.220328,135851651.220328,0.8,
The Dark Knight (2008),202112,66,1,190446274.711606,190446274.711606,0.4,
Harry Potter and the Deathly Hallows Part 2 (2011),202112,66,2,189237684.975535,0,1,
Spider-Man 3 (2007),202112,66,3,185326540.569443,185326540.569443,0.1,
Pirates of the Caribbean: Dead Man's Chest (2006),202112,66,4,169725507.77938,169725507.77938,0,
The Twilight Saga: New Moon (2009),202112,66,5,167024532.154923,167024532.154923,0.6,
Spider-Man (2002),202112,66,6,162513376.353942,162513376.353942,0,
The Twilight Saga: Breaking Dawn Part 1 (2011),202112,66,7,154489186.343935,0,1,
Iron Man 2 (2010),202112,66,8,149918149.010999,149918149.010999,0.7,
Shrek the Third (2007),202112,66,9,149163919.588291,149163919.588291,0.1,
Shrek 2 (2004),202112,66,10,145355270.608491,145355270.608491,0,
Harry Potter and the Deathly Hallows Part 1 (2010),202112,66,11,144113152.958453,144113152.958453,0.8,
Star Wars: Episode III - Revenge of the Sith (2005),202112,66,12,142275436.853216,142275436.853216,0,
Marvel's The Avengers (2012),202206,67,1,230698450.756962,0,1,
The Dark Knight (2008),202206,67,2,190446274.711606,190446274.711606,0.3,
Harry Potter and the Deathly Hallows Part 2 (2011),202206,67,3,189237684.975535,189237684.975535,0.9,
Spider-Man 3 (2007),202206,67,4,185326540.569443,185326540.569443,0,
Pirates of the Caribbean: Dead Man's Chest (2006),202206,67,5,169725507.77938,169725507.77938,0,
The Hunger Games (2012),202206,67,6,169639315.907983,0,1,
The Twilight Saga: New Moon (2009),202206,67,7,167024532.154923,167024532.154923,0.5,
Spider-Man (2002),202206,67,8,162513376.353942,162513376.353942,0,
The Twilight Saga: Breaking Dawn Part 1 (2011),202206,67,9,154489186.343935,154489186.343935,0.9,
Iron Man 2 (2010),202206,67,10,149918149.010999,149918149.010999,0.6,
Shrek the Third (2007),202206,67,11,149163919.588291,149163919.588291,0,
Shrek 2 (2004),202206,67,12,145355270.608491,145355270.608491,0,
Marvel's The Avengers (2012),202212,68,1,230698450.756962,230698450.756962,0.9,
The Dark Knight (2008),202212,68,2,190446274.711606,190446274.711606,0.2,
Harry Potter and the Deathly Hallows Part 2 (2011),202212,68,3,189237684.975535,189237684.975535,0.8,
Spider-Man 3 (2007),202212,68,4,185326540.569443,185326540.569443,0,
The Dark Knight Rises (2012),202212,68,5,176840270.778433,0,1,
Pirates of the Caribbean: Dead Man's Chest (2006),202212,68,6,169725507.77938,169725507.77938,0,
The Hunger Games (2012),202212,68,7,169639315.907983,169639315.907983,0.9,
The Twilight Saga: New Moon (2009),202212,68,8,167024532.154923,167024532.154923,0.4,
Spider-Man (2002),202212,68,9,162513376.353942,162513376.353942,0,
The Twilight Saga: Breaking Dawn Part 2 (2012),202212,68,10,155055367.141531,0,1,
The Twilight Saga: Breaking Dawn Part 1 (2011),202212,68,11,154489186.343935,154489186.343935,0.8,
Iron Man 2 (2010),202212,68,12,149918149.010999,149918149.010999,0.5,
Marvel's The Avengers (2012),202306,69,1,230698450.756962,230698450.756962,0.8,
The Dark Knight (2008),202306,69,2,190446274.711606,190446274.711606,0.1,
Iron Man 3 (2013),202306,69,3,190404172.981049,0,1,
Harry Potter and the Deathly Hallows Part 2 (2011),202306,69,4,189237684.975535,189237684.975535,0.7,
Spider-Man 3 (2007),202306,69,5,185326540.569443,185326540.569443,0,
The Dark Knight Rises (2012),202306,69,6,176840270.778433,176840270.778433,0.9,
Pirates of the Caribbean: Dead Man's Chest (2006),202306,69,7,169725507.77938,169725507.77938,0,
The Hunger Games (2012),202306,69,8,169639315.907983,169639315.907983,0.8,
The Twilight Saga: New Moon (2009),202306,69,9,167024532.154923,167024532.154923,0.3,
Spider-Man (2002),202306,69,10,162513376.353942,162513376.353942,0,
The Twilight Saga: Breaking Dawn Part 2 (2012),202306,69,11,155055367.141531,155055367.141531,0.9,
The Twilight Saga: Breaking Dawn Part 1 (2011),202306,69,12,154489186.343935,154489186.343935,0.7,
Marvel's The Avengers (2012),202312,70,1,230698450.756962,230698450.756962,0.7,
The Dark Knight (2008),202312,70,2,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202312,70,3,190404172.981049,190404172.981049,0.9,
Harry Potter and the Deathly Hallows Part 2 (2011),202312,70,4,189237684.975535,189237684.975535,0.6,
Spider-Man 3 (2007),202312,70,5,185326540.569443,185326540.569443,0,
The Dark Knight Rises (2012),202312,70,6,176840270.778433,176840270.778433,0.8,
The Hunger Games: Catching Fire (2013),202312,70,7,171158975.789467,0,1,
Pirates of the Caribbean: Dead Man's Chest (2006),202312,70,8,169725507.77938,169725507.77938,0,
The Hunger Games (2012),202312,70,9,169639315.907983,169639315.907983,0.7,
The Twilight Saga: New Moon (2009),202312,70,10,167024532.154923,167024532.154923,0.2,
Spider-Man (2002),202312,70,11,162513376.353942,162513376.353942,0,
The Twilight Saga: Breaking Dawn Part 2 (2012),202312,70,12,155055367.141531,155055367.141531,0.8,
Marvel's The Avengers (2012),202406,71,1,230698450.756962,230698450.756962,0.6,
The Dark Knight (2008),202406,71,2,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202406,71,3,190404172.981049,190404172.981049,0.8,
Harry Potter and the Deathly Hallows Part 2 (2011),202406,71,4,189237684.975535,189237684.975535,0.5,
Spider-Man 3 (2007),202406,71,5,185326540.569443,185326540.569443,0,
The Dark Knight Rises (2012),202406,71,6,176840270.778433,176840270.778433,0.7,
The Hunger Games: Catching Fire (2013),202406,71,7,171158975.789467,171158975.789467,0.9,
Pirates of the Caribbean: Dead Man's Chest (2006),202406,71,8,169725507.77938,169725507.77938,0,
The Hunger Games (2012),202406,71,9,169639315.907983,169639315.907983,0.6,
The Twilight Saga: New Moon (2009),202406,71,10,167024532.154923,167024532.154923,0.1,
Spider-Man (2002),202406,71,11,162513376.353942,162513376.353942,0,
The Twilight Saga: Breaking Dawn Part 2 (2012),202406,71,12,155055367.141531,155055367.141531,0.7,
Marvel's The Avengers (2012),202412,72,1,230698450.756962,230698450.756962,0.5,
The Dark Knight (2008),202412,72,2,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202412,72,3,190404172.981049,190404172.981049,0.7,
Harry Potter and the Deathly Hallows Part 2 (2011),202412,72,4,189237684.975535,189237684.975535,0.4,
Spider-Man 3 (2007),202412,72,5,185326540.569443,185326540.569443,0,
The Dark Knight Rises (2012),202412,72,6,176840270.778433,176840270.778433,0.6,
The Hunger Games: Catching Fire (2013),202412,72,7,171158975.789467,171158975.789467,0.8,
Pirates of the Caribbean: Dead Man's Chest (2006),202412,72,8,169725507.77938,169725507.77938,0,
The Hunger Games (2012),202412,72,9,169639315.907983,169639315.907983,0.5,
The Twilight Saga: New Moon (2009),202412,72,10,167024532.154923,167024532.154923,0,
Spider-Man (2002),202412,72,11,162513376.353942,162513376.353942,0,
The Twilight Saga: Breaking Dawn Part 2 (2012),202412,72,12,155055367.141531,155055367.141531,0.6,
Marvel's The Avengers (2012),202506,73,1,230698450.756962,230698450.756962,0.4,
Jurassic World (2015),202506,73,2,223269954.679154,0,1,
Avengers: Age of Ultron (2015),202506,73,3,204520160.423638,0,1,
The Dark Knight (2008),202506,73,4,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202506,73,5,190404172.981049,190404172.981049,0.6,
Harry Potter and the Deathly Hallows Part 2 (2011),202506,73,6,189237684.975535,189237684.975535,0.3,
Spider-Man 3 (2007),202506,73,7,185326540.569443,185326540.569443,0,
The Dark Knight Rises (2012),202506,73,8,176840270.778433,176840270.778433,0.5,
The Hunger Games: Catching Fire (2013),202506,73,9,171158975.789467,171158975.789467,0.7,
Pirates of the Caribbean: Dead Man's Chest (2006),202506,73,10,169725507.77938,169725507.77938,0,
The Hunger Games (2012),202506,73,11,169639315.907983,169639315.907983,0.4,
The Twilight Saga: New Moon (2009),202506,73,12,167024532.154923,167024532.154923,0,
Star Wars: The Force Awakens (2015),202512,74,1,264994657.732206,0,1,
Marvel's The Avengers (2012),202512,74,2,230698450.756962,230698450.756962,0.3,
Jurassic World (2015),202512,74,3,223269954.679154,223269954.679154,0.9,
Avengers: Age of Ultron (2015),202512,74,4,204520160.423638,204520160.423638,0.9,
The Dark Knight (2008),202512,74,5,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202512,74,6,190404172.981049,190404172.981049,0.5,
Harry Potter and the Deathly Hallows Part 2 (2011),202512,74,7,189237684.975535,189237684.975535,0.2,
Spider-Man 3 (2007),202512,74,8,185326540.569443,185326540.569443,0,
The Dark Knight Rises (2012),202512,74,9,176840270.778433,176840270.778433,0.4,
The Hunger Games: Catching Fire (2013),202512,74,10,171158975.789467,171158975.789467,0.6,
Pirates of the Caribbean: Dead Man's Chest (2006),202512,74,11,169725507.77938,169725507.77938,0,
The Hunger Games (2012),202512,74,12,169639315.907983,169639315.907983,0.3,
Star Wars: The Force Awakens (2015),202606,75,1,264994657.732206,264994657.732206,0.9,
Marvel's The Avengers (2012),202606,75,2,230698450.756962,230698450.756962,0.2,
Jurassic World (2015),202606,75,3,223269954.679154,223269954.679154,0.8,
Avengers: Age of Ultron (2015),202606,75,4,204520160.423638,204520160.423638,0.8,
The Dark Knight (2008),202606,75,5,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202606,75,6,190404172.981049,190404172.981049,0.4,
Captain America: Civil War (2016),202606,75,7,189567487.044498,0,1,
Harry Potter and the Deathly Hallows Part 2 (2011),202606,75,8,189237684.975535,189237684.975535,0.1,
Spider-Man 3 (2007),202606,75,9,185326540.569443,185326540.569443,0,
The Dark Knight Rises (2012),202606,75,10,176840270.778433,176840270.778433,0.3,
Batman v Superman: Dawn of Justice (2016),202606,75,11,175671242.199619,0,1,
The Hunger Games: Catching Fire (2013),202606,75,12,171158975.789467,171158975.789467,0.5,
Star Wars: The Force Awakens (2015),202612,76,1,264994657.732206,264994657.732206,0.8,
Marvel's The Avengers (2012),202612,76,2,230698450.756962,230698450.756962,0.1,
Jurassic World (2015),202612,76,3,223269954.679154,223269954.679154,0.7,
Avengers: Age of Ultron (2015),202612,76,4,204520160.423638,204520160.423638,0.7,
The Dark Knight (2008),202612,76,5,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202612,76,6,190404172.981049,190404172.981049,0.3,
Captain America: Civil War (2016),202612,76,7,189567487.044498,189567487.044498,0.9,
Harry Potter and the Deathly Hallows Part 2 (2011),202612,76,8,189237684.975535,189237684.975535,0,
Spider-Man 3 (2007),202612,76,9,185326540.569443,185326540.569443,0,
The Dark Knight Rises (2012),202612,76,10,176840270.778433,176840270.778433,0.2,
Batman v Superman: Dawn of Justice (2016),202612,76,11,175671242.199619,175671242.199619,0.9,
The Hunger Games: Catching Fire (2013),202612,76,12,171158975.789467,171158975.789467,0.4,
Star Wars: The Force Awakens (2015),202706,77,1,264994657.732206,264994657.732206,0.7,
Marvel's The Avengers (2012),202706,77,2,230698450.756962,230698450.756962,0,
Jurassic World (2015),202706,77,3,223269954.679154,223269954.679154,0.6,
Avengers: Age of Ultron (2015),202706,77,4,204520160.423638,204520160.423638,0.6,
The Dark Knight (2008),202706,77,5,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202706,77,6,190404172.981049,190404172.981049,0.2,
Captain America: Civil War (2016),202706,77,7,189567487.044498,189567487.044498,0.8,
Harry Potter and the Deathly Hallows Part 2 (2011),202706,77,8,189237684.975535,189237684.975535,0,
Spider-Man 3 (2007),202706,77,9,185326540.569443,185326540.569443,0,
Beauty and the Beast  (2017),202706,77,10,181882856.046588,0,1,
The Dark Knight Rises (2012),202706,77,11,176840270.778433,176840270.778433,0.1,
Batman v Superman: Dawn of Justice (2016),202706,77,12,175671242.199619,175671242.199619,0.8,
Star Wars: The Force Awakens (2015),202712,78,1,264994657.732206,264994657.732206,0.6,
Marvel's The Avengers (2012),202712,78,2,230698450.756962,230698450.756962,0,
Star Wars: The Last Jedi (2017),202712,78,3,225553732.152884,0,1,
Jurassic World (2015),202712,78,4,223269954.679154,223269954.679154,0.5,
Avengers: Age of Ultron (2015),202712,78,5,204520160.423638,204520160.423638,0.5,
The Dark Knight (2008),202712,78,6,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202712,78,7,190404172.981049,190404172.981049,0.1,
Captain America: Civil War (2016),202712,78,8,189567487.044498,189567487.044498,0.7,
Harry Potter and the Deathly Hallows Part 2 (2011),202712,78,9,189237684.975535,189237684.975535,0,
Spider-Man 3 (2007),202712,78,10,185326540.569443,185326540.569443,0,
Beauty and the Beast  (2017),202712,78,11,181882856.046588,181882856.046588,0.9,
The Dark Knight Rises (2012),202712,78,12,176840270.778433,176840270.778433,0,
Star Wars: The Force Awakens (2015),202806,79,1,264994657.732206,264994657.732206,0.5,
Avengers: Infinity War (2018),202806,79,2,260790963.442162,0,1,
Marvel's The Avengers (2012),202806,79,3,230698450.756962,230698450.756962,0,
Star Wars: The Last Jedi (2017),202806,79,4,225553732.152884,225553732.152884,0.9,
Jurassic World (2015),202806,79,5,223269954.679154,223269954.679154,0.4,
Avengers: Age of Ultron (2015),202806,79,6,204520160.423638,204520160.423638,0.4,
Black Panther (2018),202806,79,7,204428313.72394,0,1,
The Dark Knight (2008),202806,79,8,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202806,79,9,190404172.981049,190404172.981049,0,
Captain America: Civil War (2016),202806,79,10,189567487.044498,189567487.044498,0.6,
Harry Potter and the Deathly Hallows Part 2 (2011),202806,79,11,189237684.975535,189237684.975535,0,
Spider-Man 3 (2007),202806,79,12,185326540.569443,185326540.569443,0,
Star Wars: The Force Awakens (2015),202812,80,1,264994657.732206,264994657.732206,0.4,
Avengers: Infinity War (2018),202812,80,2,260790963.442162,260790963.442162,0.9,
Marvel's The Avengers (2012),202812,80,3,230698450.756962,230698450.756962,0,
Star Wars: The Last Jedi (2017),202812,80,4,225553732.152884,225553732.152884,0.8,
Jurassic World (2015),202812,80,5,223269954.679154,223269954.679154,0.3,
Avengers: Age of Ultron (2015),202812,80,6,204520160.423638,204520160.423638,0.3,
Black Panther (2018),202812,80,7,204428313.72394,204428313.72394,0.9,
The Dark Knight (2008),202812,80,8,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202812,80,9,190404172.981049,190404172.981049,0,
Captain America: Civil War (2016),202812,80,10,189567487.044498,189567487.044498,0.5,
Harry Potter and the Deathly Hallows Part 2 (2011),202812,80,11,189237684.975535,189237684.975535,0,
Spider-Man 3 (2007),202812,80,12,185326540.569443,185326540.569443,0,
Avengers: Endgame (2019),202906,81,1,3.5e+08,0,1,
Star Wars: The Force Awakens (2015),202906,81,2,264994657.732206,264994657.732206,0.3,
Avengers: Infinity War (2018),202906,81,3,260790963.442162,260790963.442162,0.8,
Marvel's The Avengers (2012),202906,81,4,230698450.756962,230698450.756962,0,
Star Wars: The Last Jedi (2017),202906,81,5,225553732.152884,225553732.152884,0.7,
Jurassic World (2015),202906,81,6,223269954.679154,223269954.679154,0.2,
Avengers: Age of Ultron (2015),202906,81,7,204520160.423638,204520160.423638,0.2,
Black Panther (2018),202906,81,8,204428313.72394,204428313.72394,0.8,
The Dark Knight (2008),202906,81,9,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202906,81,10,190404172.981049,190404172.981049,0,
Captain America: Civil War (2016),202906,81,11,189567487.044498,189567487.044498,0.4,
Harry Potter and the Deathly Hallows Part 2 (2011),202906,81,12,189237684.975535,189237684.975535,0,
Avengers: Endgame (2019),202912,82,1,3.5e+08,3.5e+08,0.9,
Star Wars: The Force Awakens (2015),202912,82,2,264994657.732206,264994657.732206,0.2,
Avengers: Infinity War (2018),202912,82,3,260790963.442162,260790963.442162,0.7,
Marvel's The Avengers (2012),202912,82,4,230698450.756962,230698450.756962,0,
Star Wars: The Last Jedi (2017),202912,82,5,225553732.152884,225553732.152884,0.6,
Jurassic World (2015),202912,82,6,223269954.679154,223269954.679154,0.1,
Avengers: Age of Ultron (2015),202912,82,7,204520160.423638,204520160.423638,0.1,
Black Panther (2018),202912,82,8,204428313.72394,204428313.72394,0.7,
The Dark Knight (2008),202912,82,9,190446274.711606,190446274.711606,0,
Iron Man 3 (2013),202912,82,10,190404172.981049,190404172.981049,0,
Captain America: Civil War (2016),202912,82,11,189567487.044498,189567487.044498,0.3,
Harry Potter and the Deathly Hallows Part 2 (2011),202912,82,12,189237684.975535,189237684.975535,0,
