,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Phil Mickelson,upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Phil_Mickelson_14.jpg/220px-Phil_Mickelson_14.jpg,,,,,,,,,,,,,,,,,47,42,45,40,46,46.5,47.8,48.7,53.2,50.8,52.9,,,
Tom Brady,upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Tom_Brady_2017.JPG/220px-Tom_Brady_2017.JPG,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,
Kimi Raikkonen,upload.wikimedia.org/wikipedia/commons/thumb/f/ff/F12019_Schloss_Gabelhofen_%2822%29_%28cropped%29.jpg/220px-F12019_Schloss_Gabelhofen_%2822%29_%28cropped%29.jpg,,,,,,,,,,,,,,,,,,40,44,45,,,,,,,,,,
Ronaldinho,upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Ronaldinho_Ga%C3%BAcho_em_junho_de_2019.jpg/220px-Ronaldinho_Ga%C3%BAcho_em_junho_de_2019.jpg,,,,,,,,,,,,,,,,,,31,37,,,,,,,,,,,
LeBron James,upload.wikimedia.org/wikipedia/commons/thumb/2/25/Lebron_wizards_2017_%28cropped%29.jpg/250px-Lebron_wizards_2017_%28cropped%29.jpg,,,,,,,,,,,,,,,,,,,38,40,42.8,,53,59.8,72.3,64.8,77.2,86.2,85.5,89
Roger Federer,upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Roger_Federer_%2826_June_2009%2C_Wimbledon%29_2_new.jpg/220px-Roger_Federer_%2826_June_2009%2C_Wimbledon%29_2_new.jpg,,,,,,,,,,,,,,,,,,,35,,43,47,52.7,71.5,56.2,67,67.8,64,77.2,93.4
Manny Pacquiao,upload.wikimedia.org/wikipedia/commons/thumb/8/81/Sarangani_Lone_District_Representative_Manny_Pacquiao_%28cropped%29.jpg/220px-Sarangani_Lone_District_Representative_Manny_Pacquiao_%28cropped%29.jpg,,,,,,,,,,,,,,,,,,,,40,42,,62,,,160,,,,
Dale Earnhardt Jr.,upload.wikimedia.org/wikipedia/en/thumb/6/6f/DaleJrRVA2018.png/220px-DaleJrRVA2018.png,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,
Floyd Mayweather,upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Floyd_Mayweather_Jr_2011.jpg/220px-Floyd_Mayweather_Jr_2011.jpg,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,285,
Eli Manning,upload.wikimedia.org/wikipedia/commons/thumb/9/95/Eli_Manning_%2844433828580%29.jpg/220px-Eli_Manning_%2844433828580%29.jpg,,,,,,,,,,,,,,,,,,,,,39.9,,,,,,,,,
Terrell Suggs,upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Terrell_Suggs_2015.jpg/275px-Terrell_Suggs_2015.jpg,,,,,,,,,,,,,,,,,,,,,38.3,,,,,,,,,
Lebron James,upload.wikimedia.org/wikipedia/commons/thumb/2/25/Lebron_wizards_2017_%28cropped%29.jpg/250px-Lebron_wizards_2017_%28cropped%29.jpg,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,
Cristiano Ronaldo,upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Cristiano_Ronaldo_2018.jpg/230px-Cristiano_Ronaldo_2018.jpg,,,,,,,,,,,,,,,,,,,,,,38,42.5,44,80,79.6,88,93,108,109
Lionel Messi,upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Lionel_Messi_20180626.jpg/220px-Lionel_Messi_20180626.jpg,,,,,,,,,,,,,,,,,,,,,,32.3,,41.3,64.7,73.8,81.4,80,111,127
Floyd Mayweather Jr.,upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Floyd_Mayweather_Jr_2011.jpg/220px-Floyd_Mayweather_Jr_2011.jpg,,,,,,,,,,,,,,,,,,,,,,,85,,105,300,,,,
Drew Brees,upload.wikimedia.org/wikipedia/commons/thumb/9/98/Drew_Brees_at_Saints_Super_Bowl_parade_2010-02-09.jpg/220px-Drew_Brees_at_Saints_Super_Bowl_parade_2010-02-09.jpg,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,
Aaron Rodgers,upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Aaron_rodgers_2014.jpg/300px-Aaron_rodgers_2014.jpg,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,89.3
Rafael Nadal,upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Rafael_Nadal_2011_Roland_Garros_2011-crop.jpg/220px-Rafael_Nadal_2011_Roland_Garros_2011-crop.jpg,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,,,
Matt Ryan,upload.wikimedia.org/wikipedia/commons/thumb/7/72/Matt_Ryan_2018.jpg/252px-Matt_Ryan_2018.jpg,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,,67.3,
Kevin Durant,upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Golden_State_Warriors_Small_Forward_Kevin_Durant_%28cropped%29.jpg/220px-Golden_State_Warriors_Small_Forward_Kevin_Durant_%28cropped%29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,56.2,60.6,,65.4
Novak Djokovic,upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Novak_Djokovic_%2835488012711%29.jpg/220px-Novak_Djokovic_%2835488012711%29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,,,
Cam Newton,upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Cam_newton_2016.jpg/250px-Cam_newton_2016.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,
Jordan Spieth,upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Jordan_Spieth_after_winning_the_2015_U.S._Open.png/250px-Jordan_Spieth_after_winning_the_2015_U.S._Open.png,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8,,,
Andrew Luck,upload.wikimedia.org/wikipedia/commons/thumb/8/80/Andrew_Luck_vs._Redskins_2018.jpg/225px-Andrew_Luck_vs._Redskins_2018.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Rory McIlroy,upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Rory_McIlroy_watches_drive_flight_%28portrait_orientation%29.jpg/220px-Rory_McIlroy_watches_drive_flight_%28portrait_orientation%29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Stephen Curry,upload.wikimedia.org/wikipedia/commons/thumb/2/27/Stephen_Curry_Shooting_%28cropped%29.jpg/220px-Stephen_Curry_Shooting_%28cropped%29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,76.9,79.8
James Harden,upload.wikimedia.org/wikipedia/commons/thumb/6/6e/James_Harden_%2830735342912%29.jpg/220px-James_Harden_%2830735342912%29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6,,
Lewis Hamilton,upload.wikimedia.org/wikipedia/commons/thumb/1/18/Lewis_Hamilton_2016_Malaysia_2.jpg/220px-Lewis_Hamilton_2016_Malaysia_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,
Conor McGregor,upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Conor_McGregor.jpg/220px-Conor_McGregor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,
Neymar,upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Bra-Cos_%281%29.jpg/220px-Bra-Cos_%281%29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,105
Matthew Stafford,upload.wikimedia.org/wikipedia/commons/thumb/8/81/Matt_stafford_2016.jpg/275px-Matt_stafford_2016.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,
Canelo Alvarez,upload.wikimedia.org/wikipedia/commons/thumb/8/82/Sa%C3%BAl_%C3%81lvarez.png/220px-Sa%C3%BAl_%C3%81lvarez.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
Russell Wilson,upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Russell_Wilson_postgame_vs_Washington_2014_%28cropped_2%29.jpg/220px-Russell_Wilson_postgame_vs_Washington_2014_%28cropped_2%29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5
